# artifact registry -- see docs/NOTES-coordination.md
# recipe	md5	bytes	kind	name	state	location	host	utc	commit	note
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix	211c0a49124810392e66469eb262f7d0	1523216384	ctxbin	qwen3-0.6b-w8a16-gqafix	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix/qwen3-0.6b-w8a16-gqafix_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:08Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-cl512	a1cffbe7be13a537dd41b522f248e90d	1522991104	ctxbin	qwen3-0.6b-w8a16-gqafix-cl512	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-cl512/qwen3-0.6b-w8a16-gqafix-cl512_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:11Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-cl512-lade	7f46f97e0d140f1bad92672572ad298e	1528856576	ctxbin	qwen3-0.6b-w8a16-gqafix-cl512-lade	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-cl512-lade/qwen3-0.6b-w8a16-gqafix-cl512-lade_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:14Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-cl512-ladekv	0b44d2554d874eda99cdd03a117c5fee	1084981248	ctxbin	qwen3-0.6b-w8a16-gqafix-cl512-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-cl512-ladekv/qwen3-0.6b-w8a16-gqafix-cl512-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:18Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-ctrl-ladekv	9c6024ad5b141137fbe22f3a4972eb96	1086570496	ctxbin	qwen3-0.6b-w8a16-gqafix-ctrl-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-ctrl-ladekv/qwen3-0.6b-w8a16-gqafix-ctrl-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:20Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-decodeonly	8eab39eb8affe8fa2faf4662c9bcdf8e	1071742448	ctxbin	qwen3-0.6b-w8a16-gqafix-decodeonly	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-decodeonly/qwen3-0.6b-w8a16-gqafix-decodeonly_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:22Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-dlbc	a80b47a6be2a123e28240ca3390a313f	1523216384	ctxbin	qwen3-0.6b-w8a16-gqafix-dlbc	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-dlbc/qwen3-0.6b-w8a16-gqafix-dlbc_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:25Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-dlbc-ladekv	224f4a54e775b75f6a8731b43c1fbb74	1086570496	ctxbin	qwen3-0.6b-w8a16-gqafix-dlbc-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-dlbc-ladekv/qwen3-0.6b-w8a16-gqafix-dlbc-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:27Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-hvx8-ladekv	b533db214384cbd9401ef045ba259c75	1088847872	ctxbin	qwen3-0.6b-w8a16-gqafix-hvx8-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-hvx8-ladekv/qwen3-0.6b-w8a16-gqafix-hvx8-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:29Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-hybrid	b7f929a749f9c4ebc7f411412b7beecb	1531838464	ctxbin	qwen3-0.6b-w8a16-gqafix-hybrid	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-hybrid/qwen3-0.6b-w8a16-gqafix-hybrid_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:32Z	8ca8fb5	backfilled by scan
